DATEOCC,YEAR,MONTH,DAY,CURR_IUCR,FBI_CD,AREA,BEAT,DISTRICT,X_COORD,Y_COORD,LOCATION,INC_CNT
2008-01-06 22:05:00,2008,01,06,0530,04A,1,0934,09,1171488,1869292,303,1
2008-01-06 22:30:00,2008,01,06,0520,04A,2,0414,04,1189848,1852509,303,1
2008-01-06 22:50:00,2008,01,06,0530,04A,4,1033,10,1156090,1888640,304,1
2008-01-06 23:20:00,2008,01,06,051A,04A,2,0332,03,1188659,1860473,092,1
2008-01-06 23:50:15,2008,01,06,051A,04A,1,0825,08,1159426,1862482,092,1
2008-01-07 01:00:00,2008,01,07,051A,04A,1,0931,09,1167089,1873503,304,1
2008-01-07 01:30:00,2008,01,07,051A,04A,4,1112,11,1152159,1906324,290,1
2008-01-07 02:40:00,2008,01,07,0520,04A,2,0312,03,1179285,1863262,322,1
2008-01-07 08:30:00,2008,01,07,0520,04A,4,1313,13,1155655,1903508,290,1
2008-01-07 09:22:00,2008,01,07,0558,04A,4,1124,11,1154566,1898926,314,1
2008-01-07 09:28:57,2008,01,07,0530,04A,1,0921,09,1169701,1871686,304,1
2008-01-07 11:15:00,2008,01,07,0520,04A,4,1311,13,1155450,1905895,313,1
2008-01-07 12:00:00,2008,01,07,051A,04A,2,0634,06,1175700,1842259,304,1
2008-01-07 12:45:00,2008,01,07,0530,04A,2,0432,04,1200947,1843951,304,1
2008-01-07 13:30:00,2008,01,07,051A,04A,2,0424,04,1199945,1844553,304,1
2008-01-07 13:30:00,2008,01,07,0520,04A,5,1731,17,1145634,1925585,290,1
2008-01-07 14:30:00,2008,01,07,051A,04A,1,0223,02,1180358,1873679,304,1
2008-01-07 15:00:00,2008,01,07,0520,04A,5,2521,25,1145363,1918262,304,1
2008-01-07 15:30:00,2008,01,07,051A,04A,2,2213,22,1169288,1841726,304,1
2008-01-07 16:00:25,2008,01,07,0520,04A,1,0213,02,1182270,1877109,090,1
2008-01-07 18:05:00,2008,01,07,051A,04A,1,0931,09,1164769,1873452,304,1
2008-01-07 18:05:00,2008,01,07,051A,04A,1,0834,08,1149555,1851380,303,1
2008-01-07 18:45:00,2008,01,07,0530,04A,4,1112,11,1152132,1907139,303,1
2008-01-07 19:00:00,2008,01,07,0557,04A,4,1115,11,1147867,1899629,330,1
2008-01-07 20:05:00,2008,01,07,0520,04A,2,0522,05,1175716,1828963,290,1
2008-01-07 21:24:40,2008,01,07,0520,04A,1,0712,07,1169604,1866284,090,1
2008-01-07 22:29:00,2008,01,07,051A,04A,5,1622,16,1134047,1935936,304,1
2008-01-07 23:50:00,2008,01,07,0520,04A,1,0823,08,1156197,1861846,090,1
2008-01-08 00:25:00,2008,01,08,0520,04A,5,2535,25,1150743,1909112,290,1
2008-01-08 06:30:00,2008,01,08,0530,04A,5,2521,25,1145870,1918194,277,1
2008-01-08 10:28:00,2008,01,08,051A,04A,4,1112,11,1151813,1906744,303,1
2008-01-08 13:44:35,2008,01,08,051A,04A,1,0223,02,1181401,1871971,304,1
2008-01-08 15:00:00,2008,01,08,0520,04A,2,0533,05,1184514,1818641,121,1
2008-01-08 18:50:00,2008,01,08,0530,04A,1,0831,08,1154863,1857363,304,1
2008-01-08 19:30:00,2008,01,08,0558,04A,5,1533,15,1143429,1899528,260,1
2008-01-08 19:55:00,2008,01,08,0530,04A,4,1223,12,1164277,1889473,290,1
2008-01-08 21:54:00,2008,01,08,0520,04A,2,0634,06,1176443,1841986,121,1
2008-01-08 22:37:00,2008,01,08,0520,04A,4,1324,13,1164317,1904668,303,1
2008-01-09 02:10:00,2008,01,09,051A,04A,1,0735,07,1166926,1855584,303,1
2008-01-09 03:43:46,2008,01,09,051A,04A,3,2413,24,1156328,1941720,303,1
2008-01-09 05:45:00,2008,01,09,0558,04A,3,2011,20,1158504,1934480,304,1
2008-01-09 06:50:00,2008,01,09,051A,04A,5,2521,25,1142563,1917195,304,1
2008-01-09 11:15:00,2008,01,09,0520,04A,2,2223,22,1172597,1845067,277,1
2008-01-09 12:40:00,2008,01,09,051A,04A,5,1723,17,1152731,1929737,092,1
2008-01-09 13:00:00,2008,01,09,0520,04A,3,2431,24,1165676,1946221,304,1
2008-01-09 14:25:00,2008,01,09,0530,04A,1,0711,07,1171951,1868203,261,1
2008-01-09 14:59:00,2008,01,09,051A,04A,2,0314,03,1187313,1864732,303,1
2008-01-09 16:05:00,2008,01,09,051A,04A,1,2122,21,1180100,1882569,221,1
2008-01-09 16:19:00,2008,01,09,051A,04A,1,0726,07,1162951,1858912,321,1
