"CREATE_DATE","COMPLETE_DATE","X_COORD","Y_COORD","CALL_CNT"
2014-04-13,2014-05-12,1181234.938,1846083.424,1
2014-04-13,2014-05-13,1189359.58,1850768.855,1
2014-04-13,2014-05-15,1172982.18,1857618.973,1
2014-04-13,2014-05-08,1156327.212,1868652.79,1
2014-04-13,2014-05-08,1147771.698,1884354.408,1
2014-04-13,2014-05-08,1165241.68,1905711.408,1
2014-04-14,2014-04-25,1149128.195,1887397.648,1
2014-04-14,2014-04-21,1151587.955,1917725.125,1
2014-04-14,2014-04-24,1158568.813,1888617.955,1
2014-04-14,2014-04-14,1145910.549,1918001.943,1
2014-04-14,2014-04-15,1186204.151,1842042.79,1
2014-04-14,2014-04-15,1143377.085,1900048.07,1
2014-04-14,2014-04-15,1154082.608,1915867.925,1
2014-04-14,2014-04-15,1192035.34,1860733.455,1
2014-04-14,2014-04-15,1160247.307,1895304.75,1
2014-04-14,2014-04-15,1160300.907,1895305.95,1
2014-04-14,2014-04-16,1143379.577,1935256.59,1
2014-04-14,2014-04-16,1166790.32,1923027.778,1
2014-04-14,2014-04-18,1157948.144,1938542.495,1
2014-04-14,2014-07-10,1171875.96,1823706.736,1
2014-04-14,2014-06-12,1156537.226,1830821.004,1
2014-04-14,2014-06-12,1135370.607,1922980.248,1
2014-04-14,2014-06-12,1157419.277,1830842.764,1
2014-04-14,2014-06-12,1179163.05,1823759.505,1
2014-04-14,2014-05-30,1177748.805,1830367.082,1
2014-04-14,2014-05-14,1137897.33,1870055.253,1
2014-04-14,2014-05-15,1172903.68,1868287.38,1
2014-04-14,2014-05-16,1181680.74,1838470.451,1
2014-04-14,2014-05-08,1179286.684,1857304.756,1
2014-04-14,2014-05-08,1160701.77,1913637.166,1
2014-04-14,2014-05-08,1152382.064,1851604.789,1
2014-04-14,2014-05-08,1174520.618,1823738.397,1
2014-04-14,2014-05-08,1145798.516,1924960.795,1
2014-04-14,2014-05-08,1145507.079,1872161.96,1
2014-04-14,2014-05-08,1153291.513,1863923.598,1
2014-04-14,2014-05-08,1174826.426,1834902.728,1
2014-04-14,2014-05-07,1136845.645,1902261.467,1
2014-04-14,2014-05-02,1154586.473,1908137.77,1
2014-04-14,2014-05-02,1165498.411,1948363.695,1
2014-04-14,2014-05-05,1159295.35,1888966.69,1
2014-04-14,2014-05-06,1142213.671,1918810.737,1
2014-04-14,2014-05-06,1161462.54,1942790.402,1
2014-04-14,2014-05-01,1147938.037,1846848.604,1
2014-04-14,2014-05-01,1157343.51,1877543.926,1
2014-04-14,2014-05-01,1164217.119,1948323.827,1
2014-04-15,2014-04-25,1169677.428,1918792.428,1
2014-04-15,2014-04-21,1137311.753,1930340.034,1
2014-04-15,2014-04-15,1128622.685,1935888.487,1
2014-04-15,2014-04-15,1161657.201,1925970.512,1
2014-04-15,2014-04-15,1154702.665,1829874.534,1
2014-04-15,2014-04-17,1139928.914,1942200.994,1
2014-04-15,2014-04-18,1125069.954,1948670.619,1
2014-04-15,2014-07-18,1166872.246,1851662.475,1
2014-04-15,2014-09-22,1148137.15,1910591.983,1
2014-04-15,2014-09-22,1191075.502,1859388.609,1
2014-04-15,2014-06-12,1167329.972,1837264.27,1
2014-04-15,2014-06-06,1179995.66,1847380.225,1
2014-04-15,2014-05-22,1168779.012,1853631.639,1
2014-04-15,2014-05-29,1157272.62,1849411.41,1
2014-04-15,2014-05-14,1144156.25,1861635.906,1
2014-04-15,2014-05-14,1144158.15,1861568.006,1
2014-04-15,2014-05-16,1183095.906,1847006.545,1
2014-04-15,2014-05-16,1178098.191,1835684.45,1
2014-04-15,2014-05-19,1137136.158,1900508.209,1
2014-04-15,2014-05-08,1151335.461,1866853.354,1
2014-04-15,2014-05-08,1149992.105,1867023.775,1
2014-04-15,2014-05-08,1194880.138,1853483.93,1
2014-04-15,2014-05-08,1174822.01,1847132.825,1
2014-04-15,2014-05-08,1128081.319,1923780.06,1
2014-04-15,2014-05-08,1152763.621,1857599.804,1
2014-04-15,2014-05-08,1141354.527,1924776.15,1
2014-04-15,2014-05-08,1147523.137,1884740.501,1
2014-04-15,2014-05-08,1160802.51,1893946.642,1
2014-04-15,2014-05-08,1173764.175,1837507.275,1
2014-04-15,2014-05-02,1153238.511,1909097.605,1
2014-04-15,2014-05-06,1196080.31,1853589.529,1
2014-04-15,2014-05-01,1171798.89,1915539.724,1
2014-04-15,2014-05-01,1167249.372,1837260.87,1
2014-04-16,2014-04-25,1181244.39,1830133.434,1
2014-04-16,2014-04-28,1182407.43,1877089.03,1
2014-04-16,2014-04-28,1178828.38,1882213.15,1
2014-04-16,2014-04-28,1172258.448,1879689.19,1
2014-04-16,2014-04-28,1130687.503,1866299.298,1
2014-04-16,2014-04-29,1172590.056,1879697.452,1
2014-04-16,2014-04-23,1161545.948,1835590.195,1
2014-04-16,2014-04-16,1174176.553,1876764.166,1
2014-04-16,2014-04-17,1152752.826,1913733.882,1
2014-04-16,2014-04-17,1183995.776,1875977.258,1
2014-04-16,2014-04-17,1161772.441,1921898.795,1
2014-04-16,2014-04-17,1146803.066,1933191.096,1
2014-04-16,2014-04-18,1128924.026,1942402.024,1
2014-04-16,2014-04-18,1171612.79,1925289.25,1
2014-04-16,2014-08-02,1147355.171,1905978.216,1
2014-04-16,2014-07-17,1186224.689,1841414.629,1
2014-04-16,2014-06-26,1137823.566,1920291.08,1
2014-04-16,2014-06-12,1179022.433,1836378.539,1
2014-04-16,2014-06-12,1146703.784,1914012.81,1
2014-04-16,2014-06-12,1149157.291,1908352.809,1
2014-04-16,2014-06-12,1169516.391,1870977.123,1
2014-04-16,2014-05-20,1163944.623,1868725.976,1
2014-04-16,2014-05-20,1163723.791,1862853.104,1
2014-04-16,2014-05-20,1167729.5,1863563.4,1
2014-04-16,2014-05-08,1153835.734,1864934.939,1
2014-04-16,2014-05-08,1145817.056,1873056.029,1
2014-04-16,2014-05-08,1159248.89,1905468.077,1
2014-04-16,2014-05-08,1149068.05,1849170.146,1
2014-04-16,2014-05-08,1154679.48,1879203.417,1
2014-04-16,2014-05-08,1178836.242,1857684.965,1
2014-04-16,2014-05-07,1141756.36,1909808.116,1
2014-04-16,2014-05-06,1155901.234,1940559.422,1
