POD_ID,INSTALL_DATE1,REMOVE_DATE1,INSTALL_DATE2,X_COORD,Y_COORD
237.00,1889.00,3667.00,-1.00,1189837.23,1852917.82
240.00,532.00,755.00,-1.00,1189823.39,1852945.89
250.00,138.00,685.00,-1.00,1199627.75,1845234.71
250.00,755.00,1707.00,1719.00,1197308.05,1846508.28
265.00,2442.00,-1.00,-1.00,1195823.31,1851734.32
268.00,686.00,686.00,686.00,1188335.64,1846550.61
268.00,694.00,694.00,-1.00,1188247.39,1846231.18
268.00,733.00,3674.00,-1.00,1196050.95,1854670.14
289.00,1824.00,2435.00,-1.00,1194689.76,1835121.03
298.00,685.00,3016.00,-1.00,1199220.38,1846559.09
302.00,350.00,3512.00,-1.00,1185223.21,1843440.13
304.00,351.00,741.00,757.00,1193835.99,1855695.08
307.00,2201.00,2201.00,-1.00,1201852.42,1835274.26
307.00,2201.00,3625.00,-1.00,1205104.19,1835308.57
322.00,362.00,1046.00,-1.00,1198312.69,1852476.70
322.00,1047.00,1887.00,-1.00,1198788.48,1849295.97
322.00,1887.00,2329.00,-1.00,1198257.84,1850532.41
322.00,2329.00,3679.00,-1.00,1198267.26,1850535.01
329.00,2435.00,-1.00,-1.00,1194689.76,1835121.03
330.00,500.00,3625.00,-1.00,1201786.11,1842261.84
331.00,500.00,3625.00,-1.00,1196823.36,1840473.89
333.00,501.00,3616.00,-1.00,1199350.48,1816749.93
334.00,501.00,2547.00,-1.00,1195320.25,1834525.12
338.00,684.00,3421.00,3421.00,1194224.24,1853059.82
349.00,3352.00,3666.00,3666.00,1195284.22,1855794.26
350.00,574.00,2442.00,-1.00,1195823.31,1851734.32
351.00,574.00,3675.00,-1.00,1195548.17,1853096.37
466.00,992.00,1860.00,1860.00,1196008.80,1846772.00
471.00,664.00,899.00,-1.00,1187883.89,1835766.12
566.00,839.00,3273.00,-1.00,1186802.41,1855434.90
635.00,783.00,798.00,-1.00,1200348.18,1837236.06
664.00,840.00,2144.00,2144.00,1199695.11,1835094.70
665.00,798.00,824.00,1061.00,1200348.18,1837236.06
724.00,867.00,3681.00,-1.00,1195611.48,1847796.61
768.00,892.00,894.00,-1.00,1191183.59,1843799.71
768.00,894.00,1265.00,-1.00,1191136.49,1843688.70
768.00,1265.00,-1.00,-1.00,1191517.64,1843601.32
820.00,909.00,1678.00,-1.00,1187883.89,1835766.12
841.00,1046.00,1057.00,-1.00,1198312.69,1852476.70
843.00,1057.00,1846.00,-1.00,1198312.69,1852476.70
843.00,1846.00,3675.00,-1.00,1197972.67,1853176.68
857.00,1195.00,3622.00,-1.00,1203761.02,1816726.38
858.00,1194.00,1277.00,-1.00,1204745.82,1831308.76
860.00,1195.00,1201.00,-1.00,1202133.91,1839561.09
860.00,1201.00,1201.00,-1.00,1202142.31,1838963.66
860.00,1201.00,3625.00,-1.00,1202140.88,1839092.97
874.00,951.00,3366.00,-1.00,1191358.24,1847880.24
875.00,951.00,-1.00,-1.00,1199776.79,1833896.27
876.00,951.00,3016.00,3017.00,1199212.93,1845130.33
880.00,956.00,3625.00,-1.00,1191978.48,1847677.32
886.00,1000.00,3688.00,-1.00,1196008.80,1846772.00
905.00,2453.00,-1.00,-1.00,1188315.54,1844546.33
930.00,1021.00,1061.00,-1.00,1201436.01,1835895.66
930.00,1061.00,2442.00,-1.00,1201597.65,1836554.26
934.00,2453.00,2938.00,2939.00,1188574.35,1844558.64
940.00,2453.00,3416.00,-1.00,1188533.65,1844148.25
2384.00,1134.00,-1.00,-1.00,1194564.01,1834097.04
2432.00,1336.00,3679.00,-1.00,1195288.00,1850437.66
2438.00,1348.00,1357.00,-1.00,1197011.17,1854913.36
2438.00,1357.00,3274.00,-1.00,1187091.78,1853887.09
2446.00,1291.00,2238.00,-1.00,1189792.54,1855068.32
2446.00,2238.00,3665.00,-1.00,1189852.80,1855429.66
2447.00,1291.00,-1.00,-1.00,1189871.94,1854654.26
2448.00,1204.00,2453.00,-1.00,1188315.54,1844546.33
2449.00,1204.00,2453.00,-1.00,1188574.35,1844558.64
2450.00,1209.00,3672.00,-1.00,1188444.66,1851421.25
2451.00,1211.00,2453.00,-1.00,1188533.65,1844148.25
2452.00,1291.00,3693.00,-1.00,1190432.04,1854917.19
2453.00,1291.00,1291.00,-1.00,1189890.64,1855024.92
2453.00,1291.00,3576.00,-1.00,1189864.48,1854936.69
2454.00,1292.00,3693.00,-1.00,1190851.04,1855238.27
2455.00,1292.00,3576.00,-1.00,1190843.27,1855623.14
2468.00,1293.00,3667.00,-1.00,1189353.18,1852932.72
2485.00,1548.00,3688.00,-1.00,1198108.11,1845284.26
2486.00,1548.00,3686.00,-1.00,1194683.41,1847775.84
2487.00,1548.00,3680.00,-1.00,1195087.81,1848406.88
2492.00,1678.00,3629.00,-1.00,1187883.89,1835766.12
2515.00,1405.00,3494.00,-1.00,1195873.57,1843807.59
2518.00,1409.00,3632.00,-1.00,1204713.54,1831309.83
2565.00,1778.00,3630.00,-1.00,1188660.19,1836559.90
2566.00,1778.00,3630.00,-1.00,1188803.32,1836636.23
